id,title,news_type
1,Another Terrorist Attack in NYC…Why Are we STILL Being Politically Correct – Eagle Rising,Real
2,Hillary Clinton on police shootings: 'too many people have lost their lives who shouldn't have',Real
3,"Critical counties: Wake County, NC, could put up a fight",Real
4,NFL Superstar Unleashes 4 Word Bombshell on Reporter Pushing Him to Protest Anthem,Real
5,Obama in NYC: 'We all have a role to play' in terror fight after suspected bombings,Real
6,Obama weighs in on the debate,Real
7,Donald Trump's rise puts Ted Cruz in a bind,Real
8,More Milestone Moments for Donald Trump! – Eagle Rising,Real
9,"Georgia poll: Donald Trump, Hillary Clinton in tight race",Real
10,"Donald Trump: Drugs a 'Very, Very Big Factor' in Charlotte Protests",Real
11,"Obama To UN: ‘Giving Up Liberty, Enhances Security In America…’ [VIDEO]",Real
12,Trump vs. Clinton: A Fundamental Clash over How the Economy Works,Real
13,"President Obama Vetoes 9/11 Victims Bill, Setting Up Showdown With Congress",Real
14,"CHAOS! NC Protest MOB Ambushes Female Truck Driver, Loots Truck, Sets Cargo On Fire – No One Helps!? [VIDEO]",Real
15,10 Moments That Mattered From Hillary Clinton and Donald Trump's First Debate,Real
16,Young Girl's Emotional Council Speech Laments 'Shame' of Fatal Charlotte Shooting,Real
17,Jeb Bush to lecture at Harvard this fall,Real
18,Clinton vs. Trump: The debate before the debate,Real
19,Is Hillary in a No-Win Situation?,Real
20,Johnson: 'I’m going to sleep well at the end of all this',Real
21,Anthony Weiner Under Federal Investigation for Alleged Sexting With a Minor,Real
22,Senate Dems Move To Force Trump To Release His Tax Returns,Real
23,Dem congressman to IRS: Audit the Trump Foundation,Real
24,Armed Intruders Break in House…Armed Resident Responds – Eagle Rising,Real
25,"Post-debate, Trump team hits moderator Holt for 'some hostile questions'",Real
26,One Critically Wounded As Charlotte Police Endure Second Night Of RIOTS… [VIDEO],Real
27,Rouhani: Iran deal able to weather the election,Real
28,“How Can we LEAD When we Can’t Even Control Our Own Cities?” [VIDEO] – Eagle Rising,Real
29,9 times Ted Cruz insulted Donald Trump before endorsing him,Real
30,"Obama wears hat, breaking ‘Politics 101’ rule on headgear",Real
31,Clinton: ‘The next 50 days will determine the next 50 years’,Real
32,I Was RFK’s Speechwriter. Now I’m Voting for Trump. Here’s Why.,Real
33,NC State Troopers Take A Knee Before Protecting Charlotte – But It Wasn’t To Protest The National Anthem…,Real
34,Sacramento mayor punches pie thrower,Real
35,Megan Rapinoe Punished Over Not Standing For Anthem?,Real
36,Liberals Are Furious When Reality Star Brody Jenner Tells the Truth About Police Shootings on Twitter,Real
37,Donna Brazile slams Trump for not apologizing for birther claims,Real
38,US builds working theory on cause of Syrian airstrike,Real
39,Emmy Host Kimmel Calls Out Dude Who Made Trump A Reality TV Star For Helping Destroy America (VIDEO),Real
40,Trump-Clinton debates will stream on Twitter,Real
41,Joe Biden Slams Donald Trump's Comment That Housing Crisis Was 'Good Business',Real
42,National poll: Clinton leads Trump by 6,Real
43,“Public School Forced My Child To,Real
44,"ABC News – Breaking News, Latest News, Headlines & Videos",Real
45,How to watch the first presidential debate,Real
46,Topics for first presidential debate announced,Real
47,KISS Bassist Gene Simmons on How to Stop Islamic Terrorism,Real
48,"Clinton: Tulsa shooting 'unbearable,' should be 'intolerable'",Real
49,Conway: Trump will explain his Islamic State plan if asked,Real
50,Obama: Refugee crisis is test of our humanity,Real
51,Trump labels Clinton 'weak and ineffective' in wake of bombings,Real
52,In Defense of ‘He Said/She Said’ Journalism,Real
53,Inmate Dead From Alleged Mistreatment In Jail Run By Infamous Pro-Trump Sheriff,Real
54,Debate Commission STUNS Journalists By Siding With Trump: Fact Checking Is Out Of Bounds (VIDEO),Real
55,Trump camp: ‘Donald Trump is guilty of answering the question asked’,Real
56,France becomes the first country to ban plastic plates and cutlery,Real
57,Paul Ryan ducks on stop-and-frisk,Real
58,Charlotte Police REVEAL What They Said To Black Man Just Moments Before Shooting…,Real
59,Kaine visits site of Orlando mass shooting,Real
60,How Trump Is Hiding From The Media Like A Total Coward,Real
61,“Why Aren’t I 50 Points Ahead?” – Eagle Rising,Real
62,Bobby Knight: Nobody can 'correct mistakes' like Trump,Real
63,BREAKING: Pipe Bombs Found in New Jersey Train Station,Real
64,Hillary Clinton on Between Two Ferns: 'I really regret doing this',Real
65,Magistrate won't order federal arraignment for bombing suspect,Real
66,US: ISIS did not use mustard agent in base attack,Real
67,"Terrorist Attacks Will Likely Affect 2016 Presidential Race, Experts Say",Real
68,Everything you need to know about Trump and Clinton’s first 2016 presidential debate,Real
69,U.S. attorney sees no rush to arraign Rahami in federal court,Real
70,Trump hits Clinton on Islamic State: ‘It is time for change’,Real
71,Bridgegate: Port Authority officials planned to make Fort Lee 'traffic jam as bad as possible',Real
72,Bono: ‘Trump is potentially the worst idea that ever happened to America’,Real
73,2016 presidential race tightens in Florida,Real
74,HuffPo Just Dropped The Mic On Internet Polls Saying Trump Crushed Hillary In Last Night’s Debate,Real
75,Tim Kaine on Libertarian ticket: 'Everybody knows they're not going to win',Real
76,Watch Joe Biden Take Trump’s Own Words And Tear Him To SHREDS After Debate (VIDEO),Real
77,U.S. mistakenly granted citizenship to hundreds of immigrants,Real
78,Insiders: The heat is on Hillary,Real
79,Donald Trump Jr. Just Pinned A Tweet So Stupid It Will Make Your Eyes Bleed ‹ Opposition Report,Real
80,Donald Trump retreats to friendly media ground,Real
81,Pence gives no specifics on why Trump Foundation story is inaccurate,Real
82,Details Emerge About NYC Bomb Suspect Ahmad Khan Rahami,Real
83,Trump’s puzzling pitch to black voters,Real
84,Joe Arpaio: Trump didn’t call Obama’s birth certificate ‘legitimate’,Real
85,Barack Obama at Benjamin Netanyahu meeting: 'He is always very candid with us',Real
86,McAuliffe hangs with Willie Nelson -- and his weed,Real
87,The Mystery of Trump’s Man in Moscow: Carter Page,Real
88,It’s “Trump is HITLER” Month at the Washington Post – Eagle Rising,Real
89,Obama’s team isn’t laughing at Trump anymore,Real
90,Chelsea Handler Gets The Last Word After RNC Chair Attacks Hillary For Not Smiling (VIDEO),Real
91,Is Donald Trump qualified to be president?,Real
92,Proof The Mainstream Media Is Manipulating The Election By Taking Bill Clinton Out Of Context,Fake
93,Declassified Docs Show That Obama Admin Created ISIS In 2012 To Use As A 'Tool' ⋆ US Herald,Fake
94,Why is it “RACIST” to Question Someone’s Birth Certificate? – Eagle Rising,Fake
95,"HILLARY ON DISABLED CHILDREN During Easter Egg Hunt: ""When are they going to get those f*g ree-tards out of here?"" * 100percentfedUp.com",Fake
96,'Reporters' FLEE When Clintons Get EXPOSED!,Fake
97,Bombing Suspect Filed Anti-Muslim Discrimination Lawsuit Against Police – Eagle Rising,Fake
98,Clinton Foundation Spent 5.7% on Charity; Rest Went to “Salaries” and “Other Expenses” – Eagle Rising,Fake
99,The Black Sphere with Kevin Jackson,Fake
100,"The AP, In 2004, Said Your Boy Obama Was BORN In This Particular Country",Fake
101,Charity: Clinton Foundation Distributed “Watered-Down” AIDS Drugs to Sub-Saharan Africa – Eagle Rising,Fake
102,A Hillary Clinton Administration May be Entirely Run by a FIGUREHEAD – Eagle Rising,Fake
103,Trump’s Latest Campaign Promise May Be His Most Horrible One Yet,Fake
104,Website is Down For Maintenance,Fake
105,Obama Pushes One World Government,Fake
106,Clinton Foundation Spent 5.7% on Charity; Rest Went to “Salaries” and “Other Expenses” – Eagle Rising,Fake
107,WHOA! NEW DISTURBING VIDEO Shows HILLARY'S Campaign Likely FAKED Her Audience At NC Rally * 100percentfedUp.com,Fake
108,Is it the Beginning of the End for Hillary Clinton? – Eagle Rising,Fake
109,Californians Had Special Way to View the Eclipse… Now Hospitals Are Filling up,Fake
110,Obama Just DISGRACED The U.S. By Surrendering To ISIS In Front Of Entire U.N. ⋆ US Herald,Fake
111,A Hillary Clinton Administration May be Entirely Run by a FIGUREHEAD – Eagle Rising,Fake
112,BREAKING: Did Hillary Clinton Have a Nervous Breakdown?,Fake
113,Hillary Denies She and Obama Founded ISIS…Then This Video Shows Up,Fake
114,Trump Just Made A Campaign Promise So Ridiculous It Makes ‘Read My Lips’ Look Good ‹ Opposition Report,Fake
115,Top Army Chief of Staff General Has Had It With Obama Incompetence ⋆ US Herald,Fake
116,Congress MUST Act! Five Days Until Obama's Internet Giveaway [Video],Fake
117,Clemson BANS Memes Featuring Dead Gorilla Harambe…Promotes “Rape Culture” and “Racism” – Eagle Rising,Fake
118,How Democrats are Going to Try to STEAL the Election for Hillary – Eagle Rising,Fake
119,"“If You Can’t Run Your Own House, You Certainly Can’t Run the White House” – Eagle Rising",Fake
120,CNN’s Post-Debate Rigged Poll Busted…Here Are The Real Results,Fake
121,"Homosexual Thinks Muslims Will Accept Him, Instantly Learns How They Deal With LGBT",Fake
122,REVEALED! Minnesota Mall Attacker ID'd As One Of Hillary's Somali Muslim Refugees,Fake
123,NYC Terrorist Ahmad Rahami Sued Police Department for ‘Religious Persecution’ in 2011! ⋆ Freedom Daily,Fake
124,Fast Food CEO Threatens To Fire Everyone If A Democrat Wins The Presidency,Fake
125,BREAKING: WikiLeaks Releases Proof Hillary Lied and The FBI Covered It Up,Fake
126,Angela Merkel Admits Bringing In Muslim Refugees Was A Big Fat Mistake,Fake
127,"DISGUSTING! Because Of Hillary & Obama, NY Terrorist Will Get Better Treatment Than US Vets! ⋆ Freedom Daily",Fake
128,DESPICABLE! Hillary Wants To Put Hero Cop Who Stopped Mall Terror Attack Out Of BUSINESS ⋆ Freedom Daily,Fake
129,UNFIT! Look What Hillary Needed To Get Up The Stairs At Her Rally Today! ⋆ Freedom Daily,Fake
130,Website is Down For Maintenance,Fake
131,No WAY! Liberal Judge Just Made A Law For Black Males To Do This DISGUSTING Thing To Cops ⋆ Freedom Daily,Fake
132,Clinton's Exploited Haiti Earthquake ‘to Steal Billions of Dollars from the Sick and Starving’ ⋆ Freedom Daily,Fake
133,BOOM! Merkel Admits Flooding Germany With Muslim Refugees,Fake
134,"SICK! Muslim Refugee Beats, Urinates On Pregnant Woman After Seeing What She Has ⋆ Freedom Daily",Fake
135,Republicans Push Bill To Legalize Voter Intimidation To Help Trump In Pennsylvania,Fake
136,Female Muslim-American Olympian Bashes U.S.A. —Goes Off The Hinges About Why America Sucks! ⋆ Freedom Daily,Fake
137,Charlotte Thugs Leaves Cop’s Body With Disgusting Thing They Did... ⋆ Freedom Daily,Fake
138,Obama Told Americans That Their Freedom Is Over And,Fake
139,Tebow DISMANTLES national anthem protests in one sentence...BOOM! ⋆ Freedom Daily,Fake
140,Federal Agents Make Massive Discovery at Southern Border… ISIS Is Here ⋆ Freedom Daily,Fake
141,Australia Voted To Ban Muslims And Liberals Are Pissed,Fake
142,"Two White Men Doused With Gasoline, Set On FIRE By Blacks",Fake
143,"ALERT: Police Pull Over ‘Islamic Refugee,’ Horrified To See What Was In The Car",Fake
144,CNN’s Post-Debate Rigged Poll Busted…Here Are The Real Results,Fake
145,"The NFL Told Russell Wilson Not To Speak About His Faith, So He Did Something Fans Couldn't Believe ⋆ Freedom Daily",Fake
146,The Pope Flat Out Called Fox News Type Journalism ‘Terrorism’,Fake
147,"HERE IT IS! The Winner of the First Debate Was Just Announced, And the Winner Is…",Fake
148,Hillary Thought She Won The Debate. Didn’t Expect This To Happen To Prove Her Wrong.,Fake
149,Riot Police DID Shoot Unarmed Charlotte Protester In Head,Fake
150,"ABC Reveals Trump Paid ""Hundreds Of Millions"" By Russian Oligarchs",Fake
151,"New Jersey Moves To Impeach Chris Christie Over ""Bridgegate""",Fake
152,Newsweek Accuses Trump Of Committing A Felony,Fake
153,Surgeon General warns: Drinking every time Trump lies during debate could result in acute alcohol poisoning,Fake
154,Putin's Troll Army Caught Rigging Twitter To Pretend Trump Won,Fake
155,Trump Supreme Court Pick Sued By Feds For Racial Discrimination,Fake
156,Note In Arabic Found With NYC Bomb… Call Says There Will Be More Bombings,Fake
157,Donald Trump Goes Off The Deep End–May Be Unfit For Debate ‹ Opposition Report,Fake
158,Secret Video Records MASSIVE Hillary Event Flop!,Fake
159,CNN FURIOUS and Embarrassed After Trump Called Them Out For One Major Thing,Fake
160,New York bomb Suspect SUED Police!,Fake
161,Obama’s Speech In New York Shocks Americans When He Says THIS About Attacks!,Fake
162,Bill And Hillary Clinton Have A MAJOR AIDS Scandal!,Fake
163,Changing Your Baby's Diaper Is Now A Sex Crime In Arizona,Fake
164,Michelle Obama NOT Leaving The White House – Hillary Clinton Has Terrifying New Role For Her!?!?,Fake
165,New Clinton Foundation SCANDAL Just Broke – This Is What Hillary ACTUALLY Thinks About Black People…,Fake
166,BREAKING: Judge DEMANDS Release Of Clinton’s Security Training Files – She Has 5 Days…,Fake
167,Networks Confirm They Will Not Be Fact-Checking Donald Trump In Any Way,Fake
168,"Decades-Old Clinton Friend Comes Forward, Says She Knows What's Happening to Hillary",Fake
169,"‘We Don’t Adapt To Your Culture, You Adapt To Ours’",Fake
170,White Guy Walled In Car By BlackLivesMatter Protesters – They See What He’s Brandishing And Scatter…,Fake
171,Obama: “I bet when I die you’ll be happy to pee on my grave.”,Fake
172,SURPRISE! 70% Of Charlotte RIOTERS Are Not From There – Guess What That Means… [VIDEO],Fake
173,Hillary's DEAD!?!? Brand New Theory Has Serious PROOF,Fake
174,EXPOSED: Soros Funding Fake Veterans’ PAC To Take Trump Down,Fake
175,OUTRAGE! Obama Spends $770M Dollars In Tax Payer Money To Renovate Mosques Over Seas… [VIDEO],Fake
176,BOOM! Marines Send TERRORISTS Scathing Message [VIDEO],Fake
177,BOOM! Charlotte Officials FINALLY Silence Rioters With One E P I C Announcement! [VIDEO],Fake
178,BREAKING: Steps to FORCE FBI Director Comey to Resign In Process – Hearing Decides His Fate Sept 28,Fake
179,Hillary’s TOP Donor Country Just Auctioned Off ISIS Sex Slaves…,Fake
180,Cavuto Just Exposed Lester Holt's Lies During Debate,Fake
181,People Noticed Something Odd About Hillary's Outfit,Fake
182,People Noticed Something Odd About Hillary’s Outfit at the Debate Last Night,Fake
